---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
 53566.  Zn151    -0.9245  -1.4444  -1.3074
 53594.  Zn152    -1.1767  -0.7471  -1.2981
 53608.  Zn152    -1.2981  -0.7471  -1.1767
 53621.  Zn152    -0.7471  -1.1767  -1.2981
 53637.  Zn152    -0.7471  -1.2981  -1.1767
 53643.  Zn152    -1.1767  -1.2981  -0.7471
 53650.  Zn152    -1.2981  -1.1767  -0.7471
 53697.  Zn153    -1.4506  -1.3884  -1.1269
 53703.  Zn153    -1.1269  -1.3884  -1.4506
 53722.  Zn153    -1.3884  -1.4506  -1.1269
 53728.  Zn153    -1.3884  -1.1269  -1.4506
 53735.  Zn153    -1.4506  -1.1269  -1.3884
 53744.  Zn153    -1.1269  -1.4506  -1.3884
 53788.  Zn154    -1.1207  -1.0397  -0.6008
 53795.  Zn154    -0.6008  -1.0397  -1.1207
 53817.  Zn154    -1.0397  -1.1207  -0.6008
 53822.  Zn154    -1.0397  -0.6008  -1.1207
 53836.  Zn154    -1.1207  -0.6008  -1.0397
 53847.  Zn154    -0.6008  -1.1207  -1.0397
 53901.  Zn156    -1.2109  -0.9277  -0.9588
 53903.  Zn156    -0.9588  -1.2109  -0.9277
 53905.  Zn156    -0.9277  -0.9588  -1.2109
 53944.  Zn156    -0.9277  -1.2109  -0.9588
 53948.  Zn156    -1.2109  -0.9588  -0.9277
 53952.  Zn156    -0.9588  -0.9277  -1.2109
 53979.  Zn157    -1.0024  -1.4600  -1.3230
 53994.  Zn157    -1.3230  -1.4600  -1.0024
 54004.  Zn157    -1.4600  -1.0024  -1.3230
 54019.  Zn157    -1.4600  -1.3230  -1.0024
 54026.  Zn157    -1.0024  -1.3230  -1.4600
 54035.  Zn157    -1.3230  -1.0024  -1.4600
 54079.  Zn158    -0.8747  -1.1954  -1.1362
 54086.  Zn158    -1.1362  -1.1954  -0.8747
 54108.  Zn158    -1.1954  -0.8747  -1.1362
 54113.  Zn158    -1.1954  -1.1362  -0.8747
 54118.  Zn158    -0.8747  -1.1362  -1.1954
 54129.  Zn158    -1.1362  -0.8747  -1.1954
 54173.  Zn159    -1.1393  -0.9961  -1.4164
 54178.  Zn159    -1.4164  -0.9961  -1.1393
 54200.  Zn159    -0.9961  -1.1393  -1.4164
 54207.  Zn159    -0.9961  -1.4164  -1.1393
 54222.  Zn159    -1.1393  -1.4164  -0.9961
 54229.  Zn159    -1.4164  -1.1393  -0.9961
 54285.  Zn16     -0.8063  -1.6467  -0.8094
 54287.  Zn16     -0.8094  -0.8063  -1.6467
 54289.  Zn16     -1.6467  -0.8094  -0.8063
 54328.  Zn16     -1.6467  -0.8063  -0.8094
 54332.  Zn16     -0.8063  -0.8094  -1.6467
 54336.  Zn16     -0.8094  -1.6467  -0.8063
 54363.  Zn17     -1.0989  -0.6319  -1.4506
 54378.  Zn17     -1.4506  -0.6319  -1.0989
 54388.  Zn17     -0.6319  -1.0989  -1.4506
 54403.  Zn17     -0.6319  -1.4506  -1.0989
 54410.  Zn17     -1.0989  -1.4506  -0.6319
 54419.  Zn17     -1.4506  -1.0989  -0.6319
 54463.  Zn18     -1.4755  -1.8460  -1.1674
 54470.  Zn18     -1.1674  -1.8460  -1.4755
 54492.  Zn18     -1.8460  -1.4755  -1.1674
 54497.  Zn18     -1.8460  -1.1674  -1.4755
 54502.  Zn18     -1.4755  -1.1674  -1.8460
 54513.  Zn18     -1.1674  -1.4755  -1.8460
 54557.  Zn19     -0.6101  -1.3292  -0.7347
 54562.  Zn19     -0.7347  -1.3292  -0.6101
 54584.  Zn19     -1.3292  -0.6101  -0.7347
 54591.  Zn19     -1.3292  -0.7347  -0.6101
 54606.  Zn19     -0.6101  -0.7347  -1.3292
 54613.  Zn19     -0.7347  -0.6101  -1.3292
 54625.  Zn2      -1.2078  -0.8841  -1.7152
 54630.  Zn2      -1.7152  -0.8841  -1.2078
 54634.  Zn2      -0.8841  -1.2078  -1.7152
 54639.  Zn2      -0.8841  -1.7152  -1.2078
 54641.  Zn2      -1.2078  -1.7152  -0.8841
 54644.  Zn2      -1.7152  -1.2078  -0.8841
 54727.  Zn21     -1.7028  -1.1425  -0.8779
 54728.  Zn21     -0.8779  -1.7028  -1.1425
 54729.  Zn21     -1.1425  -0.8779  -1.7028
 54742.  Zn21     -1.1425  -1.7028  -0.8779
 54743.  Zn21     -1.7028  -0.8779  -1.1425
 54744.  Zn21     -0.8779  -1.1425  -1.7028
 54817.  Zn22     -1.5689  -1.3261  -1.1985
 54822.  Zn22     -1.1985  -1.3261  -1.5689
 54826.  Zn22     -1.3261  -1.5689  -1.1985
 54831.  Zn22     -1.3261  -1.1985  -1.5689
 54833.  Zn22     -1.5689  -1.1985  -1.3261
 54836.  Zn22     -1.1985  -1.5689  -1.3261
 54915.  Zn23     -0.9463  -1.3137  -0.7098
 54917.  Zn23     -0.7098  -1.3137  -0.9463
 54924.  Zn23     -1.3137  -0.9463  -0.7098
 54926.  Zn23     -1.3137  -0.7098  -0.9463
 54928.  Zn23     -0.9463  -0.7098  -1.3137
 54931.  Zn23     -0.7098  -0.9463  -1.3137
 55010.  Zn24     -1.1642  -0.6662  -0.9993
 55012.  Zn24     -0.9993  -0.6662  -1.1642
 55019.  Zn24     -0.6662  -1.1642  -0.9993
 55021.  Zn24     -0.6662  -0.9993  -1.1642
 55026.  Zn24     -1.1642  -0.9993  -0.6662
 55029.  Zn24     -0.9993  -1.1642  -0.6662
 55147.  Zn26     -1.7931  -1.0242  -0.6631
 55152.  Zn26     -0.6631  -1.7931  -1.0242
 55154.  Zn26     -1.0242  -0.6631  -1.7931
 55194.  Zn26     -1.0242  -1.7931  -0.6631
 55195.  Zn26     -1.7931  -0.6631  -1.0242
 55199.  Zn26     -0.6631  -1.0242  -1.7931
 55225.  Zn27     -1.7183  -1.1300  -1.9020
 55241.  Zn27     -1.9020  -1.1300  -1.7183
 55254.  Zn27     -1.1300  -1.7183  -1.9020
 55268.  Zn27     -1.1300  -1.9020  -1.7183
 55273.  Zn27     -1.7183  -1.9020  -1.1300
 55284.  Zn27     -1.9020  -1.7183  -1.1300
 55328.  Zn28     -1.0677  -1.5222  -0.5448
 55333.  Zn28     -0.5448  -1.5222  -1.0677
 55355.  Zn28     -1.5222  -1.0677  -0.5448
 55362.  Zn28     -1.5222  -0.5448  -1.0677
 55368.  Zn28     -1.0677  -0.5448  -1.5222
 55375.  Zn28     -0.5448  -1.0677  -1.5222
 55422.  Zn29     -0.6101  -0.2802  -1.3759
 55428.  Zn29     -1.3759  -0.2802  -0.6101
 55447.  Zn29     -0.2802  -0.6101  -1.3759
 55453.  Zn29     -0.2802  -1.3759  -0.6101
 55469.  Zn29     -0.6101  -1.3759  -0.2802
 55478.  Zn29     -1.3759  -0.6101  -0.2802
 55491.  Zn3      -1.4662  -1.5160  -1.0055
 55493.  Zn3      -1.0055  -1.5160  -1.4662
 55500.  Zn3      -1.5160  -1.4662  -1.0055
 55502.  Zn3      -1.5160  -1.0055  -1.4662
 55504.  Zn3      -1.4662  -1.0055  -1.5160
 55507.  Zn3      -1.0055  -1.4662  -1.5160
 55628.  Zn31     -1.1611  -1.7028  -0.6880
 55630.  Zn31     -0.6880  -1.1611  -1.7028
 55635.  Zn31     -1.7028  -0.6880  -1.1611
 55673.  Zn31     -1.7028  -1.1611  -0.6880
 55677.  Zn31     -1.1611  -0.6880  -1.7028
 55678.  Zn31     -0.6880  -1.7028  -1.1611
 55706.  Zn32     -1.1456  -0.8125  -1.4631
 55720.  Zn32     -1.4631  -0.8125  -1.1456
 55733.  Zn32     -0.8125  -1.1456  -1.4631
 55749.  Zn32     -0.8125  -1.4631  -1.1456
 55755.  Zn32     -1.1456  -1.4631  -0.8125
 55762.  Zn32     -1.4631  -1.1456  -0.8125
 55809.  Zn33     -1.6467  -1.7152  -1.0304
 55815.  Zn33     -1.0304  -1.7152  -1.6467
 55834.  Zn33     -1.7152  -1.6467  -1.0304
 55840.  Zn33     -1.7152  -1.0304  -1.6467
 55847.  Zn33     -1.6467  -1.0304  -1.7152
 55856.  Zn33     -1.0304  -1.6467  -1.7152
 55900.  Zn34     -0.7502  -1.0210  -0.4794
 55907.  Zn34     -0.4794  -1.0210  -0.7502
 55929.  Zn34     -1.0210  -0.7502  -0.4794
 55934.  Zn34     -1.0210  -0.4794  -0.7502
 55948.  Zn34     -0.7502  -0.4794  -1.0210
 55959.  Zn34     -0.4794  -0.7502  -1.0210
 56013.  Zn36     -1.3604  -1.2576  -0.6880
 56015.  Zn36     -0.6880  -1.3604  -1.2576
 56017.  Zn36     -1.2576  -0.6880  -1.3604
 56056.  Zn36     -1.2576  -1.3604  -0.6880
 56060.  Zn36     -1.3604  -0.6880  -1.2576
 56064.  Zn36     -0.6880  -1.2576  -1.3604
 56091.  Zn37     -1.5814  -1.1891  -1.3541
 56106.  Zn37     -1.3541  -1.1891  -1.5814
 56116.  Zn37     -1.1891  -1.5814  -1.3541
 56131.  Zn37     -1.1891  -1.3541  -1.5814
 56138.  Zn37     -1.5814  -1.3541  -1.1891
 56147.  Zn37     -1.3541  -1.5814  -1.1891
 56191.  Zn38     -0.8561  -1.7059  -0.8063
 56198.  Zn38     -0.8063  -1.7059  -0.8561
 56220.  Zn38     -1.7059  -0.8561  -0.8063
 56225.  Zn38     -1.7059  -0.8063  -0.8561
 56230.  Zn38     -0.8561  -0.8063  -1.7059
 56241.  Zn38     -0.8063  -0.8561  -1.7059
 56285.  Zn39     -0.8094  -0.8716  -1.0740
 56290.  Zn39     -1.0740  -0.8716  -0.8094
 56312.  Zn39     -0.8716  -0.8094  -1.0740
 56319.  Zn39     -0.8716  -1.0740  -0.8094
 56334.  Zn39     -0.8094  -1.0740  -0.8716
 56341.  Zn39     -1.0740  -0.8094  -0.8716
 56354.  Zn4      -0.6942  -0.8094  -0.8779
 56356.  Zn4      -0.8779  -0.8094  -0.6942
 56363.  Zn4      -0.8094  -0.6942  -0.8779
 56365.  Zn4      -0.8094  -0.8779  -0.6942
 56370.  Zn4      -0.6942  -0.8779  -0.8094
 56373.  Zn4      -0.8779  -0.6942  -0.8094
 56455.  Zn41     -1.0615  -0.6848  -0.5666
 56456.  Zn41     -0.5666  -1.0615  -0.6848
 56457.  Zn41     -0.6848  -0.5666  -1.0615
 56470.  Zn41     -0.6848  -1.0615  -0.5666
 56471.  Zn41     -1.0615  -0.5666  -0.6848
 56472.  Zn41     -0.5666  -0.6848  -1.0615
 56545.  Zn42     -0.8872  -1.5378  -1.6561
 56550.  Zn42     -1.6561  -1.5378  -0.8872
 56554.  Zn42     -1.5378  -0.8872  -1.6561
 56559.  Zn42     -1.5378  -1.6561  -0.8872
 56561.  Zn42     -0.8872  -1.6561  -1.5378
 56564.  Zn42     -1.6561  -0.8872  -1.5378
 56643.  Zn43     -0.8810  -1.6374  -1.3074
 56645.  Zn43     -1.3074  -1.6374  -0.8810
 56652.  Zn43     -1.6374  -0.8810  -1.3074
 56654.  Zn43     -1.6374  -1.3074  -0.8810
 56656.  Zn43     -0.8810  -1.3074  -1.6374
 56659.  Zn43     -1.3074  -0.8810  -1.6374
 56738.  Zn44     -0.5666  -1.4662  -1.3417
 56740.  Zn44     -1.3417  -1.4662  -0.5666
 56747.  Zn44     -1.4662  -0.5666  -1.3417
 56749.  Zn44     -1.4662  -1.3417  -0.5666
 56754.  Zn44     -0.5666  -1.3417  -1.4662
 56757.  Zn44     -1.3417  -0.5666  -1.4662
 56875.  Zn46     -0.7315  -1.5253  -0.7658
 56880.  Zn46     -0.7658  -0.7315  -1.5253
 56882.  Zn46     -1.5253  -0.7658  -0.7315
 56922.  Zn46     -1.5253  -0.7315  -0.7658
 56923.  Zn46     -0.7315  -0.7658  -1.5253
 56927.  Zn46     -0.7658  -1.5253  -0.7315
 56953.  Zn47     -0.8218  -0.5634  -1.7215
 56969.  Zn47     -1.7215  -0.5634  -0.8218
 56982.  Zn47     -0.5634  -0.8218  -1.7215
 56996.  Zn47     -0.5634  -1.7215  -0.8218
 57001.  Zn47     -0.8218  -1.7215  -0.5634
 57012.  Zn47     -1.7215  -0.8218  -0.5634
 57056.  Zn48     -1.4039  -1.4537  -1.6903
 57061.  Zn48     -1.6903  -1.4537  -1.4039
 57083.  Zn48     -1.4537  -1.4039  -1.6903
 57090.  Zn48     -1.4537  -1.6903  -1.4039
 57096.  Zn48     -1.4039  -1.6903  -1.4537
 57103.  Zn48     -1.6903  -1.4039  -1.4537
 57150.  Zn49     -0.6848  -1.2794  -0.9152
 57156.  Zn49     -0.9152  -1.2794  -0.6848
 57175.  Zn49     -1.2794  -0.6848  -0.9152
 57181.  Zn49     -1.2794  -0.9152  -0.6848
 57197.  Zn49     -0.6848  -0.9152  -1.2794
 57206.  Zn49     -0.9152  -0.6848  -1.2794
 57260.  Zn51     -1.0771  -0.6848  -0.8125
 57262.  Zn51     -0.8125  -1.0771  -0.6848
 57267.  Zn51     -0.6848  -0.8125  -1.0771
 57305.  Zn51     -0.6848  -1.0771  -0.8125
 57309.  Zn51     -1.0771  -0.8125  -0.6848
 57310.  Zn51     -0.8125  -0.6848  -1.0771
 57338.  Zn52     -1.2576  -1.5253  -1.4631
 57352.  Zn52     -1.4631  -1.5253  -1.2576
 57365.  Zn52     -1.5253  -1.2576  -1.4631
 57381.  Zn52     -1.5253  -1.4631  -1.2576
 57387.  Zn52     -1.2576  -1.4631  -1.5253
 57394.  Zn52     -1.4631  -1.2576  -1.5253
 57441.  Zn53     -0.6226  -1.4039  -1.1705
 57447.  Zn53     -1.1705  -1.4039  -0.6226
 57466.  Zn53     -1.4039  -0.6226  -1.1705
 57472.  Zn53     -1.4039  -1.1705  -0.6226
 57479.  Zn53     -0.6226  -1.1705  -1.4039
 57488.  Zn53     -1.1705  -0.6226  -1.4039
 57532.  Zn54     -0.8187  -1.1456  -1.6530
 57539.  Zn54     -1.6530  -1.1456  -0.8187
 57561.  Zn54     -1.1456  -0.8187  -1.6530
 57566.  Zn54     -1.1456  -1.6530  -0.8187
 57580.  Zn54     -0.8187  -1.6530  -1.1456
 57591.  Zn54     -1.6530  -0.8187  -1.1456
 57645.  Zn56     -0.8654  -1.3977  -0.6848
 57647.  Zn56     -0.6848  -0.8654  -1.3977
 57649.  Zn56     -1.3977  -0.6848  -0.8654
 57688.  Zn56     -1.3977  -0.8654  -0.6848
 57692.  Zn56     -0.8654  -0.6848  -1.3977
 57696.  Zn56     -0.6848  -1.3977  -0.8654
 57723.  Zn57     -0.5852  -0.7658  -1.7775
 57738.  Zn57     -1.7775  -0.7658  -0.5852
 57748.  Zn57     -0.7658  -0.5852  -1.7775
 57763.  Zn57     -0.7658  -1.7775  -0.5852
 57770.  Zn57     -0.5852  -1.7775  -0.7658
 57779.  Zn57     -1.7775  -0.5852  -0.7658
 57823.  Zn58     -1.6032  -1.5845  -1.4288
 57830.  Zn58     -1.4288  -1.5845  -1.6032
 57852.  Zn58     -1.5845  -1.6032  -1.4288
 57857.  Zn58     -1.5845  -1.4288  -1.6032
 57862.  Zn58     -1.6032  -1.4288  -1.5845
 57873.  Zn58     -1.4288  -1.6032  -1.5845
 57917.  Zn59     -0.6880  -1.4911  -0.7533
 57922.  Zn59     -0.7533  -1.4911  -0.6880
 57944.  Zn59     -1.4911  -0.6880  -0.7533
 57951.  Zn59     -1.4911  -0.7533  -0.6880
 57966.  Zn59     -0.6880  -0.7533  -1.4911
 57973.  Zn59     -0.7533  -0.6880  -1.4911
 58027.  Zn6      -2.0452  -1.3884  -1.7682
 58032.  Zn6      -1.7682  -2.0452  -1.3884
 58034.  Zn6      -1.3884  -1.7682  -2.0452
 58074.  Zn6      -1.3884  -2.0452  -1.7682
 58075.  Zn6      -2.0452  -1.7682  -1.3884
 58079.  Zn6      -1.7682  -1.3884  -2.0452
 58087.  Zn61     -1.5502  -2.2507  -0.9993
 58088.  Zn61     -0.9993  -1.5502  -2.2507
 58089.  Zn61     -2.2507  -0.9993  -1.5502
 58102.  Zn61     -2.2507  -1.5502  -0.9993
 58103.  Zn61     -1.5502  -0.9993  -2.2507
 58104.  Zn61     -0.9993  -2.2507  -1.5502
 58177.  Zn62     -1.7152  -0.2864  -1.1487
 58182.  Zn62     -1.1487  -0.2864  -1.7152
 58186.  Zn62     -0.2864  -1.7152  -1.1487
 58191.  Zn62     -0.2864  -1.1487  -1.7152
 58193.  Zn62     -1.7152  -1.1487  -0.2864
 58196.  Zn62     -1.1487  -1.7152  -0.2864
 58275.  Zn63     -1.9114  -1.3386  -0.6537
 58277.  Zn63     -0.6537  -1.3386  -1.9114
 58284.  Zn63     -1.3386  -1.9114  -0.6537
 58286.  Zn63     -1.3386  -0.6537  -1.9114
 58288.  Zn63     -1.9114  -0.6537  -1.3386
 58291.  Zn63     -0.6537  -1.9114  -1.3386
 58370.  Zn64     -1.0179  -0.4483  -0.2739
 58372.  Zn64     -0.2739  -0.4483  -1.0179
 58379.  Zn64     -0.4483  -1.0179  -0.2739
 58381.  Zn64     -0.4483  -0.2739  -1.0179
 58386.  Zn64     -1.0179  -0.2739  -0.4483
 58389.  Zn64     -0.2739  -1.0179  -0.4483
 58507.  Zn66     -1.3168  -0.8779  -1.1985
 58512.  Zn66     -1.1985  -1.3168  -0.8779
 58514.  Zn66     -0.8779  -1.1985  -1.3168
 58554.  Zn66     -0.8779  -1.3168  -1.1985
 58555.  Zn66     -1.3168  -1.1985  -0.8779
 58559.  Zn66     -1.1985  -0.8779  -1.3168
 58585.  Zn67     -1.3697  -1.4413  -1.0709
 58601.  Zn67     -1.0709  -1.4413  -1.3697
 58614.  Zn67     -1.4413  -1.3697  -1.0709
 58628.  Zn67     -1.4413  -1.0709  -1.3697
 58633.  Zn67     -1.3697  -1.0709  -1.4413
 58644.  Zn67     -1.0709  -1.3697  -1.4413
 58688.  Zn68     -0.8405  -1.0148  -0.9712
 58693.  Zn68     -0.9712  -1.0148  -0.8405
 58715.  Zn68     -1.0148  -0.8405  -0.9712
 58722.  Zn68     -1.0148  -0.9712  -0.8405
 58728.  Zn68     -0.8405  -0.9712  -1.0148
 58735.  Zn68     -0.9712  -0.8405  -1.0148
 58782.  Zn69     -1.2701  -0.8965  -1.4071
 58788.  Zn69     -1.4071  -0.8965  -1.2701
 58807.  Zn69     -0.8965  -1.2701  -1.4071
 58813.  Zn69     -0.8965  -1.4071  -1.2701
 58829.  Zn69     -1.2701  -1.4071  -0.8965
 58838.  Zn69     -1.4071  -1.2701  -0.8965
 58873.  Zn7      -1.9861  -0.6288  -0.8000
 58889.  Zn7      -0.8000  -0.6288  -1.9861
 58902.  Zn7      -0.6288  -1.9861  -0.8000
 58916.  Zn7      -0.6288  -0.8000  -1.9861
 58921.  Zn7      -1.9861  -0.8000  -0.6288
 58932.  Zn7      -0.8000  -1.9861  -0.6288
 58988.  Zn71     -0.7845  -0.9370  -0.7035
 58990.  Zn71     -0.7035  -0.7845  -0.9370
 58995.  Zn71     -0.9370  -0.7035  -0.7845
 59033.  Zn71     -0.9370  -0.7845  -0.7035
 59037.  Zn71     -0.7845  -0.7035  -0.9370
 59038.  Zn71     -0.7035  -0.9370  -0.7845
 59066.  Zn72     -0.8343  -1.5191  -1.4288
 59080.  Zn72     -1.4288  -1.5191  -0.8343
 59093.  Zn72     -1.5191  -0.8343  -1.4288
 59109.  Zn72     -1.5191  -1.4288  -0.8343
 59115.  Zn72     -0.8343  -1.4288  -1.5191
 59122.  Zn72     -1.4288  -0.8343  -1.5191
 59169.  Zn73     -0.8872  -1.7121  -1.2358
 59175.  Zn73     -1.2358  -1.7121  -0.8872
 59194.  Zn73     -1.7121  -0.8872  -1.2358
 59200.  Zn73     -1.7121  -1.2358  -0.8872
 59207.  Zn73     -0.8872  -1.2358  -1.7121
 59216.  Zn73     -1.2358  -0.8872  -1.7121
 59260.  Zn74     -0.6942  -1.6032  -1.2607
 59267.  Zn74     -1.2607  -1.6032  -0.6942
 59289.  Zn74     -1.6032  -0.6942  -1.2607
 59294.  Zn74     -1.6032  -1.2607  -0.6942
 59308.  Zn74     -0.6942  -1.2607  -1.6032
 59319.  Zn74     -1.2607  -0.6942  -1.6032
 59373.  Zn76     -1.9923  -1.2047  -1.3946
 59375.  Zn76     -1.3946  -1.9923  -1.2047
 59377.  Zn76     -1.2047  -1.3946  -1.9923
 59416.  Zn76     -1.2047  -1.9923  -1.3946
 59420.  Zn76     -1.9923  -1.3946  -1.2047
 59424.  Zn76     -1.3946  -1.2047  -1.9923
 59451.  Zn77     -1.7433  -1.0024  -0.9277
 59466.  Zn77     -0.9277  -1.0024  -1.7433
 59476.  Zn77     -1.0024  -1.7433  -0.9277
 59491.  Zn77     -1.0024  -0.9277  -1.7433
 59498.  Zn77     -1.7433  -0.9277  -1.0024
 59507.  Zn77     -0.9277  -1.7433  -1.0024
 59551.  Zn78     -1.3884  -0.8747  -0.3455
 59558.  Zn78     -0.3455  -0.8747  -1.3884
 59580.  Zn78     -0.8747  -1.3884  -0.3455
 59585.  Zn78     -0.8747  -0.3455  -1.3884
 59590.  Zn78     -1.3884  -0.3455  -0.8747
 59601.  Zn78     -0.3455  -1.3884  -0.8747
 59645.  Zn79     -1.3759  -0.4794  -0.8934
 59650.  Zn79     -0.8934  -0.4794  -1.3759
 59672.  Zn79     -0.4794  -1.3759  -0.8934
 59679.  Zn79     -0.4794  -0.8934  -1.3759
 59694.  Zn79     -1.3759  -0.8934  -0.4794
 59701.  Zn79     -0.8934  -1.3759  -0.4794
 59744.  Zn8      -1.4631  -0.5728  -0.3611
 59749.  Zn8      -0.3611  -0.5728  -1.4631
 59771.  Zn8      -0.5728  -1.4631  -0.3611
 59778.  Zn8      -0.5728  -0.3611  -1.4631
 59784.  Zn8      -1.4631  -0.3611  -0.5728
 59791.  Zn8      -0.3611  -1.4631  -0.5728
 59815.  Zn81     -1.0242  -1.1611  -0.8000
 59816.  Zn81     -0.8000  -1.0242  -1.1611
 59817.  Zn81     -1.1611  -0.8000  -1.0242
 59830.  Zn81     -1.1611  -1.0242  -0.8000
 59831.  Zn81     -1.0242  -0.8000  -1.1611
 59832.  Zn81     -0.8000  -1.1611  -1.0242
 59905.  Zn82     -1.0335  -1.1393  -1.5191
 59910.  Zn82     -1.5191  -1.1393  -1.0335
 59914.  Zn82     -1.1393  -1.0335  -1.5191
 59919.  Zn82     -1.1393  -1.5191  -1.0335
 59921.  Zn82     -1.0335  -1.5191  -1.1393
 59924.  Zn82     -1.5191  -1.0335  -1.1393
 60003.  Zn83     -1.0677  -1.5969  -1.2452
 60005.  Zn83     -1.2452  -1.5969  -1.0677
 60012.  Zn83     -1.5969  -1.0677  -1.2452
 60014.  Zn83     -1.5969  -1.2452  -1.0677
 60016.  Zn83     -1.0677  -1.2452  -1.5969
 60019.  Zn83     -1.2452  -1.0677  -1.5969
 60098.  Zn84     -0.8156  -1.1736  -1.0740
 60100.  Zn84     -1.0740  -1.1736  -0.8156
 60107.  Zn84     -1.1736  -0.8156  -1.0740
 60109.  Zn84     -1.1736  -1.0740  -0.8156
 60114.  Zn84     -0.8156  -1.0740  -1.1736
 60117.  Zn84     -1.0740  -0.8156  -1.1736
 60235.  Zn86     -0.5977  -0.5728  -1.2452
 60240.  Zn86     -1.2452  -0.5977  -0.5728
 60242.  Zn86     -0.5728  -1.2452  -0.5977
 60282.  Zn86     -0.5728  -0.5977  -1.2452
 60283.  Zn86     -0.5977  -1.2452  -0.5728
 60287.  Zn86     -1.2452  -0.5728  -0.5977
 60313.  Zn87     -0.7098  -1.7090  -0.8903
 60329.  Zn87     -0.8903  -1.7090  -0.7098
 60342.  Zn87     -1.7090  -0.7098  -0.8903
 60356.  Zn87     -1.7090  -0.8903  -0.7098
 60361.  Zn87     -0.7098  -0.8903  -1.7090
 60372.  Zn87     -0.8903  -0.7098  -1.7090
 60416.  Zn88     -0.5603  -1.0024  -1.5752
 60421.  Zn88     -1.5752  -1.0024  -0.5603
 60443.  Zn88     -1.0024  -0.5603  -1.5752
 60450.  Zn88     -1.0024  -1.5752  -0.5603
 60456.  Zn88     -0.5603  -1.5752  -1.0024
 60463.  Zn88     -1.5752  -0.5603  -1.0024
 60510.  Zn89     -1.1985  -1.7495  -1.7837
 60516.  Zn89     -1.7837  -1.7495  -1.1985
 60535.  Zn89     -1.7495  -1.1985  -1.7837
 60541.  Zn89     -1.7495  -1.7837  -1.1985
 60557.  Zn89     -1.1985  -1.7837  -1.7495
 60566.  Zn89     -1.7837  -1.1985  -1.7495
 60606.  Zn9      -1.4693  -0.2148  -0.8685
 60612.  Zn9      -0.8685  -0.2148  -1.4693
 60631.  Zn9      -0.2148  -1.4693  -0.8685
 60637.  Zn9      -0.2148  -0.8685  -1.4693
 60653.  Zn9      -1.4693  -0.8685  -0.2148
 60662.  Zn9      -0.8685  -1.4693  -0.2148
 60716.  Zn91     -1.4849  -1.2670  -1.4320
 60718.  Zn91     -1.4320  -1.4849  -1.2670
 60723.  Zn91     -1.2670  -1.4320  -1.4849
 60761.  Zn91     -1.2670  -1.4849  -1.4320
 60765.  Zn91     -1.4849  -1.4320  -1.2670
 60766.  Zn91     -1.4320  -1.2670  -1.4849
 60794.  Zn92     -1.3510  -1.3074  -0.6537
 60808.  Zn92     -0.6537  -1.3074  -1.3510
 60821.  Zn92     -1.3074  -1.3510  -0.6537
 60837.  Zn92     -1.3074  -0.6537  -1.3510
 60843.  Zn92     -1.3510  -0.6537  -1.3074
 60850.  Zn92     -0.6537  -1.3510  -1.3074
 60897.  Zn93     -1.1269  -0.8063  -0.7004
 60903.  Zn93     -0.7004  -0.8063  -1.1269
 60922.  Zn93     -0.8063  -1.1269  -0.7004
 60928.  Zn93     -0.8063  -0.7004  -1.1269
 60935.  Zn93     -1.1269  -0.7004  -0.8063
 60944.  Zn93     -0.7004  -1.1269  -0.8063
 60988.  Zn94     -1.6467  -0.7845  -1.0989
 60995.  Zn94     -1.0989  -0.7845  -1.6467
 61017.  Zn94     -0.7845  -1.6467  -1.0989
 61022.  Zn94     -0.7845  -1.0989  -1.6467
 61036.  Zn94     -1.6467  -1.0989  -0.7845
 61047.  Zn94     -1.0989  -1.6467  -0.7845
 61101.  Zn96     -1.3074  -1.3977  -0.8592
 61103.  Zn96     -0.8592  -1.3074  -1.3977
 61105.  Zn96     -1.3977  -0.8592  -1.3074
 61144.  Zn96     -1.3977  -1.3074  -0.8592
 61148.  Zn96     -1.3074  -0.8592  -1.3977
 61152.  Zn96     -0.8592  -1.3977  -1.3074
 61179.  Zn97     -1.3821  -0.7471  -1.6934
 61194.  Zn97     -1.6934  -0.7471  -1.3821
 61204.  Zn97     -0.7471  -1.3821  -1.6934
 61219.  Zn97     -0.7471  -1.6934  -1.3821
 61226.  Zn97     -1.3821  -1.6934  -0.7471
 61235.  Zn97     -1.6934  -1.3821  -0.7471
 61279.  Zn98     -1.3323  -1.3853  -1.0242
 61286.  Zn98     -1.0242  -1.3853  -1.3323
 61308.  Zn98     -1.3853  -1.3323  -1.0242
 61313.  Zn98     -1.3853  -1.0242  -1.3323
 61318.  Zn98     -1.3323  -1.0242  -1.3853
 61329.  Zn98     -1.0242  -1.3323  -1.3853
 61373.  Zn99     -0.7378  -0.6444  -1.0584
 61378.  Zn99     -1.0584  -0.6444  -0.7378
 61400.  Zn99     -0.6444  -0.7378  -1.0584
 61407.  Zn99     -0.6444  -1.0584  -0.7378
 61422.  Zn99     -0.7378  -1.0584  -0.6444
 61429.  Zn99     -1.0584  -0.7378  -0.6444
 122884.  Zn1       1.4600   1.4662  -0.5479
 122885.  Zn1       1.4662   0.5479  -1.4600
 122886.  Zn1       0.5479   1.4600  -1.4662
 122893.  Zn1       1.4662   1.4600  -0.5479
 122894.  Zn1       0.5479   1.4662  -1.4600
