---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  4009.  Zn146    -1.4413   0.5666   1.4195
  4013.  Zn146    -0.5666   1.4195   1.4413
  4068.  Zn147    -0.8249   1.8833   1.7588
  4075.  Zn147    -1.8833   0.8249   1.7588
  4091.  Zn147    -1.7588   0.8249   1.8833
  4098.  Zn147    -1.7588   1.8833   0.8249
  4118.  Zn147    -0.8249   1.7588   1.8833
  4123.  Zn147    -1.8833   1.7588   0.8249
  4169.  Zn148    -1.7837   1.3168   0.7066
  4178.  Zn148    -1.3168   1.7837   0.7066
  4183.  Zn148    -0.7066   1.7837   1.3168
  4189.  Zn148    -0.7066   1.3168   1.7837
  4212.  Zn148    -1.7837   0.7066   1.3168
  4218.  Zn148    -1.3168   0.7066   1.7837
  4261.  Zn149    -0.5354   0.2615   1.0677
  4272.  Zn149    -0.2615   0.5354   1.0677
  4278.  Zn149    -1.0677   0.5354   0.2615
  4292.  Zn149    -1.0677   0.2615   0.5354
  4303.  Zn149    -0.5354   1.0677   0.2615
  4319.  Zn149    -0.2615   1.0677   0.5354
  4346.  Zn151    -1.3074   1.4444   0.9245
  4348.  Zn151    -0.9245   1.3074   1.4444
  4353.  Zn151    -1.4444   0.9245   1.3074
  4391.  Zn151    -1.4444   1.3074   0.9245
  4395.  Zn151    -1.3074   0.9245   1.4444
  4396.  Zn151    -0.9245   1.4444   1.3074
  4451.  Zn152    -0.7471   1.1767   1.2981
  4460.  Zn152    -1.1767   0.7471   1.2981
  4474.  Zn152    -1.2981   0.7471   1.1767
  4480.  Zn152    -1.2981   1.1767   0.7471
  4503.  Zn152    -0.7471   1.2981   1.1767
  4509.  Zn152    -1.1767   1.2981   0.7471
  4552.  Zn153    -1.3884   1.4506   1.1269
  4563.  Zn153    -1.4506   1.3884   1.1269
  4569.  Zn153    -1.1269   1.3884   1.4506
  4574.  Zn153    -1.1269   1.4506   1.3884
  4594.  Zn153    -1.3884   1.1269   1.4506
  4601.  Zn153    -1.4506   1.1269   1.3884
  4647.  Zn154    -1.0397   1.1207   0.6008
  4654.  Zn154    -1.1207   1.0397   0.6008
  4661.  Zn154    -0.6008   1.0397   1.1207
  4677.  Zn154    -0.6008   1.1207   1.0397
  4688.  Zn154    -1.0397   0.6008   1.1207
  4702.  Zn154    -1.1207   0.6008   1.0397
  4731.  Zn156    -1.2109   0.9277   0.9588
  4733.  Zn156    -0.9588   1.2109   0.9277
  4735.  Zn156    -0.9277   0.9588   1.2109
  4774.  Zn156    -0.9277   1.2109   0.9588
  4778.  Zn156    -1.2109   0.9588   0.9277
  4782.  Zn156    -0.9588   0.9277   1.2109
  4834.  Zn157    -1.4600   1.0024   1.3230
  4845.  Zn157    -1.0024   1.4600   1.3230
  4860.  Zn157    -1.3230   1.4600   1.0024
  4865.  Zn157    -1.3230   1.0024   1.4600
  4885.  Zn157    -1.4600   1.3230   1.0024
  4892.  Zn157    -1.0024   1.3230   1.4600
  4938.  Zn158    -1.1954   0.8747   1.1362
  4945.  Zn158    -0.8747   1.1954   1.1362
  4952.  Zn158    -1.1362   1.1954   0.8747
  4959.  Zn158    -1.1362   0.8747   1.1954
  4979.  Zn158    -1.1954   1.1362   0.8747
  4984.  Zn158    -0.8747   1.1362   1.1954
  5030.  Zn159    -0.9961   1.1393   1.4164
  5039.  Zn159    -1.1393   0.9961   1.4164
  5044.  Zn159    -1.4164   0.9961   1.1393
  5059.  Zn159    -1.4164   1.1393   0.9961
  5073.  Zn159    -0.9961   1.4164   1.1393
  5088.  Zn159    -1.1393   1.4164   0.9961
  5115.  Zn16     -0.8063   1.6467   0.8094
  5117.  Zn16     -0.8094   0.8063   1.6467
  5119.  Zn16     -1.6467   0.8094   0.8063
  5158.  Zn16     -1.6467   0.8063   0.8094
  5162.  Zn16     -0.8063   0.8094   1.6467
  5166.  Zn16     -0.8094   1.6467   0.8063
  5218.  Zn17     -0.6319   1.0989   1.4506
  5229.  Zn17     -1.0989   0.6319   1.4506
  5244.  Zn17     -1.4506   0.6319   1.0989
  5249.  Zn17     -1.4506   1.0989   0.6319
  5269.  Zn17     -0.6319   1.4506   1.0989
  5276.  Zn17     -1.0989   1.4506   0.6319
  5322.  Zn18     -1.8460   1.4755   1.1674
  5329.  Zn18     -1.4755   1.8460   1.1674
  5336.  Zn18     -1.1674   1.8460   1.4755
  5343.  Zn18     -1.1674   1.4755   1.8460
  5363.  Zn18     -1.8460   1.1674   1.4755
  5368.  Zn18     -1.4755   1.1674   1.8460
  5414.  Zn19     -1.3292   0.6101   0.7347
  5423.  Zn19     -0.6101   1.3292   0.7347
  5428.  Zn19     -0.7347   1.3292   0.6101
  5443.  Zn19     -0.7347   0.6101   1.3292
  5457.  Zn19     -1.3292   0.7347   0.6101
